Medl.nr.;Navn;E-mail;Medlemskab;Indmeldelsesdato;Betalingskanal;Betalingsfrekvens;Senest fejlede betaling;Status;subscriptionId;Girokort sendt
1;Anders Nielsen;anders_nielsen19@dkmail.dk;Nedsat;07-10-1997;Kontant;Kvartalsvis;18-02-2025;Ingen betaling;;
2;Mette Nielsen;mette_nielsen29@dkmail.dk;Standard;10-05-2000;MobilePay;Månedlig;12-04-2025;Rejected;12c4ff58-6fbe-4f13-91e4-5d4293b2ab4d  ;
3;Thomas Andersen;thomas_andersen41@dkmail.dk;Standard;01-02-2003;Kontant;Årlig;08-03-2025;Ingen betaling;;
4;Martin Madsen;martin_madsen22@dkmail.dk;Husstand;01-01-2008;MobilePay;Kvartalsvis;24-03-2025;Failed;a1b0c9d7-442e-43aa-9e6f-e451f1b780a3  ;
5;Martin Larsen;martin_larsen35@dkmail.dk;Standard;01-01-2008;MasterCard;Årlig;27-01-2025;Rejected;8f32a9b1-d3c5-4b9e-9f7e-7b12f8348cf0  ;
6;Sofie Jensen;sofie_jensen67@dkmail.dk;Standard;01-01-2010;MobilePay;Årlig;18-02-2025;Failed;f3d7e4a0-21a7-4e9c-8fce-4d8ef6b710d4  ;
7;Lene Jensen;lene_jensen57@dkmail.dk;Standard;26-10-2022;MobilePay;Årlig;29-04-2025;Rejected;0d8b7c2f-2af3-4b67-9c14-cc9a2df86521  ;
8;Thomas Andersen;thomas_andersen68@dkmail.dk;Standard;01-01-2011;Betalingsservice;Kvartalsvis;22-03-2025;Betaling afvist;8;
9;Pernille Jensen;pernille_jensen52@dkmail.dk;Standard;01-01-2012;MobilePay;Månedlig;04-01-2025;Rejected;d6a3f4be-98e1-4973-a812-4e6cb81643e0  ;
10;Mette Christensen;mette_christensen71@dkmail.dk;Standard;01-01-2013;Girokort;Kvartalsvis;04-02-2025;Ingen betaling;10;1. februar 2025
11;Anders Nielsen;anders_nielsen86@dkmail.dk;Nedsat;01-01-2013;Dankort/VISA;Årlig;02-04-2025;Rejected;8f32a9b1-d3c5-4b9e-9f7e-7b12f8348cf0  ;
12;Mette Christensen;mette_christensen80@dkmail.dk;Standard;01-01-2014;Betalingsservice;Kvartalsvis;09-04-2025;Betaling afvist;12;
